excel_品名,薬価,reason
ブロモバレリル尿素,7.5,not in dosing_master.csv
抱水クロラール,36.9,not in dosing_master.csv
ユーロジン散１％,37.4,not in dosing_master.csv
ユーロジン１ｍｇ錠,6.1,not in dosing_master.csv
エスタゾラム錠１ｍｇ「アメル」,6.1,not in dosing_master.csv
エスタゾラム２ｍｇ錠,6.6,not in dosing_master.csv
ユーロジン２ｍｇ錠,8.4,not in dosing_master.csv
ダルメートカプセル１５,7.2,not in dosing_master.csv
ネルボン散１％,10.6,not in dosing_master.csv
ベンザリン細粒１％,16.2,not in dosing_master.csv
ニトラゼパム細粒１％「ＴＣＫ」,16.2,not in dosing_master.csv
ベンザリン錠２,6.1,not in dosing_master.csv
ニトラゼパム５ｍｇ錠,5.7,not in dosing_master.csv
ベンザリン錠５,7.8,not in dosing_master.csv
ネルボン錠５ｍｇ,7.1,not in dosing_master.csv
ニトラゼパム１０ｍｇ錠,5.9,not in dosing_master.csv
ネルボン錠１０ｍｇ,12.4,not in dosing_master.csv
ベンザリン錠１０,12.4,not in dosing_master.csv
ソメリン細粒１％,18.2,not in dosing_master.csv
ソメリン錠５ｍｇ,12.1,not in dosing_master.csv
ソメリン錠１０ｍｇ,15.4,not in dosing_master.csv
トリアゾラム０．１２５ｍｇ錠,5.9,not in dosing_master.csv
ハルシオン０．１２５ｍｇ錠,6.1,not in dosing_master.csv
トリアゾラム０．２５ｍｇ錠,6.1,not in dosing_master.csv
ハルシオン０．２５ｍｇ錠,7.8,not in dosing_master.csv
フルニトラゼパム１ｍｇ錠,5.9,not in dosing_master.csv
サイレース錠１ｍｇ,7.4,not in dosing_master.csv
フルニトラゼパム２ｍｇ錠,6.1,not in dosing_master.csv
サイレース錠２ｍｇ,8.6,not in dosing_master.csv
ブロチゾラム０．２５ｍｇ錠,10.4,not in dosing_master.csv
レンドルミン錠０．２５ｍｇ,10.6,not in dosing_master.csv
ブロチゾラム０．２５ｍｇ口腔内崩壊錠,10.4,not in dosing_master.csv
レンドルミンＤ錠０．２５ｍｇ,10.6,not in dosing_master.csv
エバミール錠１．０,10.9,not in dosing_master.csv
ロラメット錠１．０,13.8,not in dosing_master.csv
セレナール散１０％,24.2,not in dosing_master.csv
セレナール錠５,5.9,not in dosing_master.csv
セレナール錠１０,6.0,not in dosing_master.csv
セパゾン散１％,17.4,not in dosing_master.csv
セパゾン錠１,5.9,not in dosing_master.csv
セパゾン錠２,6.0,not in dosing_master.csv
メンドンカプセル７．５ｍｇ,10.4,not in dosing_master.csv
セルシン散１％,9.7,not in dosing_master.csv
ホリゾン散１％,11.5,not in dosing_master.csv
