excel_unit_text,excel_drug_name,excel_price_yen,excel_strength
錠,ブロモバレリル尿素,7.5,1ｇ
錠,抱水クロラール,36.9,1ｇ
錠,エスタゾラム,37.4,1％1ｇ
錠,エスタゾラム,6.1,1ｍｇ1錠
錠,エスタゾラム,6.1,1ｍｇ1錠
錠,エスタゾラム,6.6,2ｍｇ1錠
錠,エスタゾラム,8.4,2ｍｇ1錠
錠,フルラゼパム塩酸塩,7.2,15ｍｇ1カプセル
錠,ニトラゼパム,10.6,1％1ｇ
錠,ニトラゼパム,16.2,1％1ｇ
錠,ニトラゼパム,16.2,1％1ｇ
錠,ニトラゼパム,6.1,2ｍｇ1錠
錠,ニトラゼパム,5.7,5ｍｇ1錠
錠,ニトラゼパム,7.8,5ｍｇ1錠
錠,ニトラゼパム,7.1,5ｍｇ1錠
錠,ニトラゼパム,5.9,10ｍｇ1錠
錠,ニトラゼパム,12.4,10ｍｇ1錠
錠,ニトラゼパム,12.4,10ｍｇ1錠
錠,ハロキサゾラム,18.2,1％1ｇ
錠,ハロキサゾラム,12.1,5ｍｇ1錠
錠,ハロキサゾラム,15.4,10ｍｇ1錠
錠,トリアゾラム,5.9,0．125ｍｇ1錠
錠,トリアゾラム,6.1,0．125ｍｇ1錠
錠,トリアゾラム,6.1,0．25ｍｇ1錠
錠,トリアゾラム,7.8,0．25ｍｇ1錠
錠,フルニトラゼパム,5.9,1ｍｇ1錠
錠,フルニトラゼパム,7.4,1ｍｇ1錠
錠,フルニトラゼパム,6.1,2ｍｇ1錠
錠,フルニトラゼパム,8.6,2ｍｇ1錠
錠,ブロチゾラム,10.4,0．25ｍｇ1錠
錠,ブロチゾラム,10.6,0．25ｍｇ1錠
錠,ブロチゾラム,10.4,0．25ｍｇ1錠
錠,ブロチゾラム,10.6,0．25ｍｇ1錠
錠,ロルメタゼパム,10.9,1ｍｇ1錠
錠,ロルメタゼパム,13.8,1ｍｇ1錠
錠,オキサゾラム,24.2,10％1ｇ
錠,オキサゾラム,5.9,5ｍｇ1錠
錠,オキサゾラム,6,10ｍｇ1錠
錠,クロキサゾラム,17.4,1％1ｇ
錠,クロキサゾラム,5.9,1ｍｇ1錠
錠,クロキサゾラム,6,2ｍｇ1錠
錠,クロラゼプ酸二カリウム,10.4,7．5ｍｇ1カプセル
錠,ジアゼパム,9.7,1％1ｇ
錠,ジアゼパム,11.5,1％1ｇ
錠,ジアゼパム,5.9,2ｍｇ1錠
錠,ジアゼパム,6.2,2ｍｇ1錠
錠,ジアゼパム,6.2,2ｍｇ1錠
錠,ジアゼパム,6,5ｍｇ1錠
錠,ジアゼパム,9.7,5ｍｇ1錠
錠,ジアゼパム,9.7,5ｍｇ1錠
錠,ジアゼパム,11.3,10ｍｇ1錠
錠,ジアゼパム,5.9,10ｍｇ1錠
錠,ブロマゼパム,14.9,1％1ｇ
錠,ブロマゼパム,15.5,1％1ｇ
錠,ブロマゼパム,5.9,1ｍｇ1錠
錠,ブロマゼパム,5.9,1ｍｇ1錠
錠,ブロマゼパム,6.1,2ｍｇ1錠
錠,ブロマゼパム,5.9,2ｍｇ1錠
錠,ブロマゼパム,6.1,3ｍｇ1錠
錠,ブロマゼパム,6.1,5ｍｇ1錠
錠,ブロマゼパム,7,5ｍｇ1錠
錠,メダゼパム,8.3,2ｍｇ1錠
錠,メダゼパム,5.9,2ｍｇ1錠
錠,メダゼパム,5.9,5ｍｇ1錠
錠,メダゼパム,5.9,5ｍｇ1錠
錠,ロラゼパム,6.1,0．5ｍｇ1錠
錠,ロラゼパム,5.3,0．5ｍｇ1錠
錠,ロラゼパム,5.9,1ｍｇ1錠
錠,ロラゼパム,6.1,1ｍｇ1錠
錠,アルプラゾラム,5.9,0．4ｍｇ1錠
錠,アルプラゾラム,6.1,0．4ｍｇ1錠
錠,アルプラゾラム,6.1,0．4ｍｇ1錠
錠,アルプラゾラム,6.1,0．8ｍｇ1錠
錠,アルプラゾラム,7.7,0．8ｍｇ1錠
錠,アルプラゾラム,7.6,0．8ｍｇ1錠
錠,アルプラゾラム,8.2,0．8ｍｇ1錠
錠,メキサゾラム,10.8,0．1％1ｇ
錠,メキサゾラム,6.1,0．5ｍｇ1錠
錠,メキサゾラム,7.9,1ｍｇ1錠
錠,トフィソパム,10.4,10％1ｇ
錠,トフィソパム,6.1,50ｍｇ1錠
錠,トフィソパム,8.2,50ｍｇ1錠
錠,クロルジアゼポキシド,7.7,1％1ｇ
錠,クロルジアゼポキシド,11,1％1ｇ
錠,クロルジアゼポキシド,30.6,10％1ｇ
錠,クロルジアゼポキシド,10.1,5ｍｇ1錠
錠,クロルジアゼポキシド,10.1,10ｍｇ1錠
錠,ロフラゼプ酸エチル,123.6,1％1ｇ
錠,ロフラゼプ酸エチル,6.1,1ｍｇ1錠
錠,ロフラゼプ酸エチル,10.4,1ｍｇ1錠
錠,ロフラゼプ酸エチル,9.6,2ｍｇ1錠
錠,ロフラゼプ酸エチル,15.1,2ｍｇ1錠
錠,クアゼパム,21.7,15ｍｇ1錠
錠,クアゼパム,43.5,15ｍｇ1錠
錠,クアゼパム,28,15ｍｇ1錠
錠,クアゼパム,28,15ｍｇ1錠
錠,クアゼパム,28,15ｍｇ1錠
錠,クアゼパム,27.8,20ｍｇ1錠
錠,クアゼパム,53.6,20ｍｇ1錠
錠,クアゼパム,32.9,20ｍｇ1錠
錠,クアゼパム,32.9,20ｍｇ1錠
錠,クアゼパム,32.9,20ｍｇ1錠
錠,ミダゾラム,1117.8,0．2％1ｍＬ
錠,アモバルビタール,39.5,1ｇ
錠,バルビタール,10,1ｇ
錠,フェノバルビタール,7.5,10％1ｇ
錠,フェノバルビタール,7.7,10％1ｇ
錠,フェノバルビタール,46.3,1ｇ
錠,フェノバルビタール,10.4,30ｍｇ1錠
錠,フェノバルビタール,2.5,0．4％1ｍＬ
錠,ペントバルビタールカルシウム,9.2,50ｍｇ1錠
錠,臭化カリウム,82.6,10ｇ
錠,臭化ナトリウム,83.5,10ｇ
錠,トリクロホスナトリウム,10.5,10％1ｍＬ
錠,リルマザホン塩酸塩水和物,10.4,1ｍｇ1錠
錠,リルマザホン塩酸塩水和物,16.2,2ｍｇ1錠
錠,ゾピクロン,6.7,7．5ｍｇ1錠
錠,ゾピクロン,11.8,7．5ｍｇ1錠
錠,ゾピクロン,7.5,10ｍｇ1錠
錠,ゾピクロン,12.9,10ｍｇ1錠
錠,タンドスピロンクエン酸塩,6.1,5ｍｇ1錠
錠,タンドスピロンクエン酸塩,8.6,5ｍｇ1錠
錠,タンドスピロンクエン酸塩,9.3,10ｍｇ1錠
錠,タンドスピロンクエン酸塩,15.5,10ｍｇ1錠
錠,タンドスピロンクエン酸塩,18,20ｍｇ1錠
錠,タンドスピロンクエン酸塩,25.8,20ｍｇ1錠
錠,ゾルピデム酒石酸塩,10.4,5ｍｇ1錠
錠,ゾルピデム酒石酸塩,17.5,5ｍｇ1錠
錠,ゾルピデム酒石酸塩,10.6,5ｍｇ1錠
錠,ゾルピデム酒石酸塩,10.4,10ｍｇ1錠
錠,ゾルピデム酒石酸塩,26.9,10ｍｇ1錠
錠,ゾルピデム酒石酸塩,15,10ｍｇ1錠
錠,ゾルピデム酒石酸塩,11.2,10ｍｇ1錠
錠,ゾルピデム酒石酸塩,14.2,10ｍｇ1錠
錠,ゾルピデム酒石酸塩,12.3,10ｍｇ1錠
錠,ゾルピデム酒石酸塩,11.2,10ｍｇ1錠
錠,ゾルピデム酒石酸塩,12.3,10ｍｇ1錠
錠,ゾルピデム酒石酸塩,11.2,10ｍｇ1錠
錠,ゾルピデム酒石酸塩,15,10ｍｇ1錠
錠,ゾルピデム酒石酸塩,11.2,10ｍｇ1錠
錠,ゾルピデム酒石酸塩,12.3,10ｍｇ1錠
錠,ゾルピデム酒石酸塩,14.2,10ｍｇ1錠
錠,ゾルピデム酒石酸塩,15,10ｍｇ1錠
錠,ゾルピデム酒石酸塩,11.2,10ｍｇ1錠
錠,ゾルピデム酒石酸塩,13.6,10ｍｇ1錠
錠,ゾルピデム酒石酸塩,12.3,10ｍｇ1錠
錠,ゾルピデム酒石酸塩,15,10ｍｇ1錠
錠,ゾルピデム酒石酸塩,13.6,10ｍｇ1錠
錠,ゾルピデム酒石酸塩,10.4,5ｍｇ1錠
錠,ゾルピデム酒石酸塩,10.6,5ｍｇ1錠
錠,ゾルピデム酒石酸塩,11.2,10ｍｇ1錠
錠,ゾルピデム酒石酸塩,22.2,10ｍｇ1錠
錠,ゾルピデム酒石酸塩,14.2,10ｍｇ1錠
錠,ゾルピデム酒石酸塩,15,10ｍｇ1錠
錠,ゾルピデム酒石酸塩,29.3,5ｍｇ1ｍＬ1包
錠,ゾルピデム酒石酸塩,40.4,10ｍｇ2ｍＬ1包
錠,エスゾピクロン,7.7,1ｍｇ1錠
錠,エスゾピクロン,28.5,1ｍｇ1錠
錠,エスゾピクロン,9.5,1ｍｇ1錠
錠,エスゾピクロン,9.2,1ｍｇ1錠
錠,エスゾピクロン,9.5,1ｍｇ1錠
錠,エスゾピクロン,9.2,1ｍｇ1錠
錠,エスゾピクロン,12.5,2ｍｇ1錠
錠,エスゾピクロン,46.6,2ｍｇ1錠
錠,エスゾピクロン,15.9,2ｍｇ1錠
錠,エスゾピクロン,15,2ｍｇ1錠
錠,エスゾピクロン,15,2ｍｇ1錠
錠,エスゾピクロン,14.6,3ｍｇ1錠
錠,エスゾピクロン,54.7,3ｍｇ1錠
錠,エスゾピクロン,20.2,3ｍｇ1錠
錠,エスゾピクロン,18.5,3ｍｇ1錠
錠,エスゾピクロン,21.4,3ｍｇ1錠
錠,エスゾピクロン,18.5,3ｍｇ1錠
錠,エスゾピクロン,18.5,3ｍｇ1錠
錠,エスゾピクロン,18.5,3ｍｇ1錠
錠,エスゾピクロン,18.5,3ｍｇ1錠
錠,エスゾピクロン,18.5,3ｍｇ1錠
錠,アセチルフェネトライド,126.6,1ｇ
錠,アセチルフェネトライド,42.9,200ｍｇ1錠
錠,エトトイン,201.2,1ｇ
錠,フェニトイン,12.1,10％1ｇ
錠,フェニトイン,11.9,25ｍｇ1錠
錠,フェニトイン,12.1,25ｍｇ1錠
錠,フェニトイン,12.8,100ｍｇ1錠
錠,フェニトイン,12.9,100ｍｇ1錠
錠,トリメタジオン,36.2,66．7％1ｇ
錠,プリミドン,55.7,99．5％1ｇ
錠,プリミドン,17.3,250ｍｇ1錠
錠,スルチアム,25,50ｍｇ1錠
錠,スルチアム,64,200ｍｇ1錠
錠,エトスクシミド,25.1,50％1ｇ
錠,エトスクシミド,6.9,5％1ｍＬ
錠,カルバマゼピン,22.2,50％1ｇ
錠,カルバマゼピン,22.2,50％1ｇ
錠,カルバマゼピン,22.2,50％1ｇ
錠,カルバマゼピン,7.7,200ｍｇ1錠
錠,カルバマゼピン,10,200ｍｇ1錠
錠,カルバマゼピン,7.7,200ｍｇ1錠
錠,カルバマゼピン,5.9,100ｍｇ1錠
錠,カルバマゼピン,6.1,100ｍｇ1錠
錠,クロナゼパム,8.3,0．1％1ｇ
錠,クロナゼパム,8.1,0．1％1ｇ
錠,クロナゼパム,35.9,0．5％1ｇ
錠,クロナゼパム,31.7,0．5％1ｇ
錠,クロナゼパム,9.6,0．5ｍｇ1錠
錠,クロナゼパム,9.6,0．5ｍｇ1錠
錠,クロナゼパム,10.4,1ｍｇ1錠
錠,クロナゼパム,10.4,1ｍｇ1錠
錠,クロナゼパム,13.2,2ｍｇ1錠
錠,クロナゼパム,13.7,2ｍｇ1錠
錠,バルプロ酸ナトリウム,18.1,20％1ｇ
錠,バルプロ酸ナトリウム,19.7,40％1ｇ
錠,バルプロ酸ナトリウム,25.9,40％1ｇ
錠,バルプロ酸ナトリウム,36.7,40％1ｇ
錠,バルプロ酸ナトリウム,26.3,40％1ｇ
錠,バルプロ酸ナトリウム,10.4,100ｍｇ1錠
錠,バルプロ酸ナトリウム,10.4,100ｍｇ1錠
錠,バルプロ酸ナトリウム,14.3,200ｍｇ1錠
錠,バルプロ酸ナトリウム,10.4,200ｍｇ1錠
錠,バルプロ酸ナトリウム,11.5,200ｍｇ1錠
錠,バルプロ酸ナトリウム,14.3,200ｍｇ1錠
錠,バルプロ酸ナトリウム,10.4,100ｍｇ1錠
錠,バルプロ酸ナトリウム,10.4,100ｍｇ1錠
錠,バルプロ酸ナトリウム,10.4,200ｍｇ1錠
錠,バルプロ酸ナトリウム,10.9,200ｍｇ1錠
錠,バルプロ酸ナトリウム,12.3,200ｍｇ1錠
錠,バルプロ酸ナトリウム,11.3,200ｍｇ1錠
錠,バルプロ酸ナトリウム,17.4,400ｍｇ1錠
錠,バルプロ酸ナトリウム,7,5％1ｍＬ
錠,バルプロ酸ナトリウム,7.9,5％1ｍＬ
錠,バルプロ酸ナトリウム,9.3,5％1ｍＬ
錠,ゾニサミド,25.6,20％1ｇ
錠,ゾニサミド,29.9,20％1ｇ
錠,ゾニサミド,11.7,100ｍｇ1錠
