col_13,col_7,col_3,col_4,col_9,col_5,col_11,col_14,col_0,col_12,col_6,col_8,col_10,col_15,row,col_1,col_2
,ブロモバレリル尿素,1ｇ,局,,,,,内用薬,7.5,,,,錠,2,1121001X1018,ブロモバレリル尿素
,抱水クロラール,1ｇ,局,,,,,内用薬,36.9,,,,錠,3,1123001X1012,抱水クロラール
,ユーロジン散1％,1％1ｇ,,,,,,内用薬,37.4,,Ｔ’ｓ製薬,先発品,錠,4,1124001B1039,エスタゾラム
,ユーロジン1ｍｇ錠,1ｍｇ1錠,,,,,,内用薬,6.1,,Ｔ’ｓ製薬,先発品,錠,5,1124001F1022,エスタゾラム
,エスタゾラム錠1ｍｇ「アメル」,1ｍｇ1錠,,★,,,,内用薬,6.1,,共和薬品工業,,錠,6,1124001F1030,エスタゾラム
,エスタゾラム2ｍｇ錠,2ｍｇ1錠,,後発品,,,,内用薬,6.6,,,,錠,7,1124001F2010,エスタゾラム
,ユーロジン2ｍｇ錠,2ｍｇ1錠,,,,○,,内用薬,8.4,,Ｔ’ｓ製薬,先発品,錠,8,1124001F2029,エスタゾラム
,ダルメートカプセル15,15ｍｇ1カプセル,,,,,,内用薬,7.2,,共和薬品工業,先発品,錠,9,1124002M2022,フルラゼパム塩酸塩
R8.3.31まで,ネルボン散1％,1％1ｇ,,,,,,内用薬,10.6,,アルフレッサファーマ,,錠,10,1124003B1070,ニトラゼパム
,ベンザリン細粒1％,1％1ｇ,,,,,,内用薬,16.2,,共和薬品工業,,錠,11,1124003C1092,ニトラゼパム
,ニトラゼパム細粒1％「ＴＣＫ」,1％1ｇ,,後発品,,,,内用薬,16.2,,辰巳化学,,錠,12,1124003C1114,ニトラゼパム
,ベンザリン錠2,2ｍｇ1錠,,,,,,内用薬,6.1,,共和薬品工業,,錠,13,1124003F1021,ニトラゼパム
,ニトラゼパム5ｍｇ錠,5ｍｇ1錠,,後発品,,,,内用薬,5.7,,,,錠,14,1124003F2010,ニトラゼパム
,ベンザリン錠5,5ｍｇ1錠,,,,○,,内用薬,7.8,,共和薬品工業,準先発品,錠,15,1124003F2222,ニトラゼパム
R8.3.31まで,ネルボン錠5ｍｇ,5ｍｇ1錠,,,,○,,内用薬,7.1,,アルフレッサファーマ,準先発品,錠,16,1124003F2230,ニトラゼパム
,ニトラゼパム10ｍｇ錠,10ｍｇ1錠,,後発品,,,,内用薬,5.9,,,,錠,17,1124003F3016,ニトラゼパム
R8.3.31まで,ネルボン錠10ｍｇ,10ｍｇ1錠,,,,○,,内用薬,12.4,,アルフレッサファーマ,準先発品,錠,18,1124003F3083,ニトラゼパム
,ベンザリン錠10,10ｍｇ1錠,,,,○,,内用薬,12.4,,共和薬品工業,準先発品,錠,19,1124003F3121,ニトラゼパム
R8.3.31まで,ソメリン細粒1％,1％1ｇ,,,,,,内用薬,18.2,,アルフレッサファーマ,先発品,錠,20,1124005C1032,ハロキサゾラム
R8.3.31まで,ソメリン錠5ｍｇ,5ｍｇ1錠,,,,,,内用薬,12.1,,アルフレッサファーマ,先発品,錠,21,1124005F1020,ハロキサゾラム
R8.3.31まで,ソメリン錠10ｍｇ,10ｍｇ1錠,,,,,,内用薬,15.4,,アルフレッサファーマ,先発品,錠,22,1124005F2027,ハロキサゾラム
,トリアゾラム0．125ｍｇ錠,0．125ｍｇ1錠,,後発品,,,,内用薬,5.9,,,,錠,23,1124007F1011,トリアゾラム
,ハルシオン0．125ｍｇ錠,0．125ｍｇ1錠,,,,○,,内用薬,6.1,,ファイザー,先発品,錠,24,1124007F1020,トリアゾラム
,トリアゾラム0．25ｍｇ錠,0．25ｍｇ1錠,,後発品,,,,内用薬,6.1,,,,錠,25,1124007F2018,トリアゾラム
,ハルシオン0．25ｍｇ錠,0．25ｍｇ1錠,,,,○,,内用薬,7.8,,ファイザー,先発品,錠,26,1124007F2026,トリアゾラム
,フルニトラゼパム1ｍｇ錠,1ｍｇ1錠,,後発品,,,,内用薬,5.9,,,,錠,27,1124008F1016,フルニトラゼパム
,サイレース錠1ｍｇ,1ｍｇ1錠,,,,○,,内用薬,7.4,,エーザイ,先発品,錠,28,1124008F1024,フルニトラゼパム
,フルニトラゼパム2ｍｇ錠,2ｍｇ1錠,,後発品,,,,内用薬,6.1,,,,錠,29,1124008F2012,フルニトラゼパム
,サイレース錠2ｍｇ,2ｍｇ1錠,,,,○,,内用薬,8.6,,エーザイ,先発品,錠,30,1124008F2020,フルニトラゼパム
,ブロチゾラム0．25ｍｇ錠,0．25ｍｇ1錠,,後発品,,,,内用薬,10.4,,,,錠,31,1124009F1010,ブロチゾラム
,レンドルミン錠0．25ｍｇ,0．25ｍｇ1錠,局,,,○,,内用薬,10.6,,日本ベーリンガーインゲルハイム,先発品,錠,32,1124009F1223,ブロチゾラム
,ブロチゾラム0．25ｍｇ口腔内崩壊錠,0．25ｍｇ1錠,,後発品,,,,内用薬,10.4,,,,錠,33,1124009F2017,ブロチゾラム
,レンドルミンＤ錠0．25ｍｇ,0．25ｍｇ1錠,,,,○,,内用薬,10.6,,日本ベーリンガーインゲルハイム,先発品,錠,34,1124009F2025,ブロチゾラム
,エバミール錠1．0,1ｍｇ1錠,,,,,,内用薬,10.9,,丸石製薬,先発品,錠,35,1124010F1021,ロルメタゼパム
,ロラメット錠1．0,1ｍｇ1錠,,,,,,内用薬,13.8,,あすか製薬,先発品,錠,36,1124010F1030,ロルメタゼパム
,セレナール散10％,10％1ｇ,,,,,,内用薬,24.2,,アルフレッサファーマ,先発品,錠,37,1124013B1031,オキサゾラム
,セレナール錠5,5ｍｇ1錠,,,,,,内用薬,5.9,,アルフレッサファーマ,先発品,錠,38,1124013F1033,オキサゾラム
,セレナール錠10,10ｍｇ1錠,,,,,,内用薬,6,,アルフレッサファーマ,先発品,錠,39,1124013F2064,オキサゾラム
,セパゾン散1％,1％1ｇ,,,,,,内用薬,17.4,,アルフレッサファーマ,先発品,錠,40,1124014B1036,クロキサゾラム
,セパゾン錠1,1ｍｇ1錠,,,,,,内用薬,5.9,,アルフレッサファーマ,先発品,錠,41,1124014F1038,クロキサゾラム
,セパゾン錠2,2ｍｇ1錠,,,,,,内用薬,6,,アルフレッサファーマ,先発品,錠,42,1124014F2034,クロキサゾラム
,メンドンカプセル7．5ｍｇ,7．5ｍｇ1カプセル,局,,,,,内用薬,10.4,,ヴィアトリス製薬,先発品,錠,43,1124015M2038,クロラゼプ酸二カリウム
,セルシン散1％,1％1ｇ,,,,,,内用薬,9.7,,Ｔ’ｓ製薬,,錠,44,1124017B1129,ジアゼパム
,ホリゾン散1％,1％1ｇ,,,,,,内用薬,11.5,,丸石製薬,,錠,45,1124017B1145,ジアゼパム
,ジアゼパム2ｍｇ錠,2ｍｇ1錠,,後発品,,,,内用薬,5.9,,,,錠,46,1124017F2011,ジアゼパム
,2ｍｇセルシン錠,2ｍｇ1錠,局,,,○,,内用薬,6.2,,Ｔ’ｓ製薬,準先発品,錠,47,1124017F2135,ジアゼパム
,ホリゾン錠2ｍｇ,2ｍｇ1錠,局,,,○,,内用薬,6.2,,丸石製薬,準先発品,錠,48,1124017F2151,ジアゼパム
,ジアゼパム5ｍｇ錠,5ｍｇ1錠,,後発品,,,,内用薬,6,,,,錠,49,1124017F4014,ジアゼパム
,5ｍｇセルシン錠,5ｍｇ1錠,局,,,○,,内用薬,9.7,,Ｔ’ｓ製薬,準先発品,錠,50,1124017F4049,ジアゼパム
,ホリゾン錠5ｍｇ,5ｍｇ1錠,局,,,○,,内用薬,9.7,,丸石製薬,準先発品,錠,51,1124017F4162,ジアゼパム
,10ｍｇセルシン錠,10ｍｇ1錠,局,,,○,,内用薬,11.3,,Ｔ’ｓ製薬,準先発品,錠,52,1124017F5037,ジアゼパム
