exact_item_name,price_yen,daily_inhalations,cost_12w_yen,class
アドエア２５０ディスカス６０吸入用,3625.3,2,609050.4,ICS/LABA
アドエア１２５エアゾール１２０吸入用,3983.8,2,669278.4,ICS/LABA
アドエア２５０エアゾール１２０吸入用,4354.5,2,731556.0,ICS/LABA
フルティフォーム５０エアゾール１２０吸入用,4169.0,2,700392.0,ICS/LABA
フルティフォーム１２５エアゾール１２０吸入用,4340.4,2,729187.2,ICS/LABA
レルベア１００エリプタ３０吸入用,4829.9,1,405711.6,ICS/LABA
レルベア２００エリプタ３０吸入用,5220.8,1,438547.2,ICS/LABA
テリルジー１００エリプタ３０吸入用,8502.3,1,714193.2,Triple
テリルジー２００エリプタ３０吸入用,9673.8,1,812599.2,Triple
アテキュラ吸入用カプセル低用量,132.4,1,11121.6,LAMA
アテキュラ吸入用カプセル中用量,144.7,1,12154.8,LAMA
アテキュラ吸入用カプセル高用量,161.5,1,13566.0,LAMA
エナジア吸入用カプセル中用量,290.3,1,24385.2,Triple
エナジア吸入用カプセル高用量,331.5,1,27846.0,Triple
スピリーバ２．５μｇレスピマット６０吸入,3100.9,1,260475.6,LAMA
